Kategorie: Alle Kategorien

Monat,r: (Weltweit),python: (Weltweit),matlab: (Weltweit)
2004-01,60,14,10
2004-02,60,14,13
2004-03,61,14,13
2004-04,56,13,13
2004-05,57,13,12
2004-06,58,13,11
2004-07,58,13,9
2004-08,58,13,9
2004-09,58,13,11
2004-10,60,13,13
2004-11,68,12,12
2004-12,73,12,10
2005-01,57,13,9
2005-02,58,13,10
2005-03,59,13,11
2005-04,57,12,11
2005-05,57,13,10
2005-06,57,13,9
2005-07,62,13,8
2005-08,59,12,7
2005-09,58,12,9
2005-10,62,16,10
2005-11,73,12,10
2005-12,78,12,8
2006-01,61,11,8
2006-02,60,12,9
2006-03,58,12,9
2006-04,59,12,10
2006-05,56,11,9
2006-06,58,11,8
2006-07,61,11,6
2006-08,57,12,6
2006-09,59,12,8
2006-10,64,12,9
2006-11,78,11,9
2006-12,81,10,7
2007-01,61,11,7
2007-02,61,11,8
2007-03,60,11,8
2007-04,62,11,8
2007-05,60,11,8
2007-06,61,10,7
2007-07,63,11,6
2007-08,61,11,6
2007-09,61,10,7
2007-10,66,11,9
2007-11,82,10,9
2007-12,84,10,7
2008-01,64,10,7
2008-02,65,10,7
2008-03,65,10,8
2008-04,62,10,9
2008-05,62,10,8
2008-06,62,10,6
2008-07,64,10,6
2008-08,63,10,5
2008-09,64,10,7
2008-10,66,10,8
2008-11,78,10,8
2008-12,85,10,7
2009-01,63,10,6
2009-02,66,11,8
2009-03,64,11,8
2009-04,62,11,8
2009-05,59,10,8
2009-06,60,10,7
2009-07,61,11,6
2009-08,61,10,6
2009-09,62,10,8
2009-10,66,11,9
2009-11,82,10,9
2009-12,84,10,7
2010-01,62,9,7
2010-02,63,10,8
2010-03,64,10,9
2010-04,63,10,9
2010-05,60,10,8
2010-06,60,10,7
2010-07,61,9,6
2010-08,62,10,6
2010-09,65,10,7
2010-10,68,10,8
2010-11,85,10,8
2010-12,87,9,7
2011-01,69,10,6
2011-02,70,10,8
2011-03,64,10,8
2011-04,68,10,8
2011-05,65,10,8
2011-06,67,10,7
2011-07,68,10,6
2011-08,69,10,5
2011-09,70,10,7
2011-10,75,10,8
2011-11,94,10,9
2011-12,91,9,7
2012-01,79,10,6
2012-02,76,11,8
2012-03,75,10,8
2012-04,73,10,8
2012-05,71,10,8
2012-06,70,10,6
2012-07,69,10,6
2012-08,72,11,5
2012-09,74,11,7
2012-10,77,11,8
2012-11,91,11,8
2012-12,93,10,6
2013-01,72,11,6
2013-02,73,11,7
2013-03,73,11,8
2013-04,71,11,8
2013-05,68,11,7
2013-06,69,11,6
2013-07,70,11,6
2013-08,70,12,5
2013-09,68,12,7
2013-10,75,12,8
2013-11,92,14,8
2013-12,100,12,6
2014-01,72,12,6
2014-02,73,12,7
2014-03,73,13,8
2014-04,73,13,8
2014-05,71,12,7
2014-06,69,12,6
2014-07,72,14,5
2014-08,72,11,5
2014-09,70,13,7
2014-10,75,13,8
2014-11,88,13,8
2014-12,91,12,6
2015-01,70,12,6
2015-02,73,14,7
2015-03,72,14,8
2015-04,72,14,8
2015-05,69,13,7
2015-06,71,14,6
2015-07,71,13,5
2015-08,72,13,5
2015-09,73,15,7
2015-10,74,15,8
2015-11,87,15,8
2015-12,89,14,6
2016-01,69,16,6
2016-02,76,17,8
2016-03,71,18,8
2016-04,72,18,9
2016-05,70,17,8
2016-06,70,18,6
2016-07,70,16,5
2016-08,67,16,5
2016-09,69,19,7
2016-10,71,19,8
2016-11,87,20,8
2016-12,89,18,7
2017-01,71,20,7
2017-02,73,22,8
2017-03,73,24,9
2017-04,74,23,8
2017-05,71,22,7
2017-06,71,22,6
2017-07,73,21,5
2017-08,70,22,5
2017-09,71,23,7
2017-10,73,25,8
2017-11,84,25,8
2017-12,82,23,6
2018-01,69,24,6
2018-02,72,26,7
2018-03,81,26,7
2018-04,72,27,8
2018-05,66,25,7
2018-06,65,26,6
2018-07,59,25,5
2018-08,59,25,5
2018-09,63,27,7
2018-10,64,29,8
2018-11,63,28,7
2018-12,61,24,6
2019-01,83,27,6
2019-02,72,29,7
2019-03,71,29,7
2019-04,64,30,7
2019-05,60,28,7
2019-06,59,29,6
