"vehicle","colour","passing.distance","street","helmet","kerb","bikelane","city","time"
"ordinary car","blue",2.114,"regular urban street","no",0.5,"no","Salisbury","2006-05-10 16:30:00"
"HGV","red",0.998,"regular urban street","no",0.5,"no","Salisbury","2006-05-10 16:30:00"
"LGV/minibus","blue",1.817,"regular urban street","no",0.5,"no","Salisbury","2006-05-10 16:30:00"
"ordinary car","unknown",1.64,"regular urban street","no",0.5,"no","Salisbury","2006-05-10 16:30:00"
"bus","other",1.544,"regular urban street","no",0.5,"no","Salisbury","2006-05-10 16:30:00"
"ordinary car","sliver/grey",1.509,"regular urban street","no",0.5,"no","Salisbury","2006-05-10 16:30:00"
"LGV/minibus","white",1.29,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","red",1.512,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"bus","red",1.049,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"PTW","unknown",1.932,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"LGV/minibus","white",1.145,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"SUV/pickup","white",1.41,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","blue",1.428,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","blue",1.494,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","blue",1.57,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"LGV/minibus","white",2.103,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","red",0.896,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"LGV/minibus","white",1.16,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","sliver/grey",1.29,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","white",1.963,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","sliver/grey",2.436,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","red",2.304,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:46:00"
"ordinary car","black",1.482,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"LGV/minibus","white",1.492,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","blue",1.432,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","green",1.504,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"PTW","unknown",1.046,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","red",1.306,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"taxi","sliver/grey",1.15,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","blue",1.43,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"LGV/minibus","white",1.569,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","sliver/grey",1.796,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","black",1.51,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"LGV/minibus","white",1.493,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","blue",1.261,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"PTW","unknown",1.363,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","red",1.242,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"ordinary car","sliver/grey",1.105,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"SUV/pickup","sliver/grey",1.548,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"LGV/minibus","white",1.178,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"LGV/minibus","white",1.742,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"LGV/minibus","red",1.87,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"HGV","white",1.134,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"HGV","green",0.794,"main road, regular","yes",1,"no","Salisbury","2006-05-11 07:52:00"
"HGV","other",1.016,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"LGV/minibus","blue",0.973,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"LGV/minibus","black",1.186,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","red",1.549,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","blue",1.172,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","red",1.307,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","white",1.469,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","black",1.651,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"LGV/minibus","white",0.916,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","blue",1.408,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","white",1.34,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
"ordinary car","red",1.39,"main road, regular","yes",1,"no","Salisbury","2006-05-11 08:02:00"
